timestamps,open,high,low,close,volume,amount,$factor
2010-12-28,3.1240656,3.1855226,3.0284657,3.128504,368722.94,1153551.2,0.13065755
2010-12-29,3.1257226,3.176424,3.1069443,3.1752288,237015.38,752578.06,0.13065651
2010-12-30,3.183798,3.183798,3.076249,3.1057823,319727.34,993003.5,0.1306572
2010-12-31,3.1035392,3.1458757,3.090736,3.1397302,352717.25,1107437.0,0.1306567
2011-01-04,3.1906106,3.207682,3.1172044,3.1667109,462756.06,1465414.6,0.13065687
2011-01-05,3.15647,3.1650057,3.0813568,3.091258,445426.28,1376927.6,0.13065691
2011-01-06,3.0934894,3.13429,3.046202,3.0769303,287657.84,885103.1,0.13065717
2011-01-07,3.0758717,3.101649,3.047192,3.068019,233695.33,716981.7,0.13065644
2011-01-10,3.0663767,3.0815704,2.972825,2.9757273,296842.78,883323.2,0.13065782
2011-01-11,2.9649258,2.9959953,2.9227598,2.9628773,346879.0,1027759.9,0.1306568
2011-01-12,2.972119,3.0045545,2.9432685,2.9784355,239735.92,714038.0,0.13065732
2011-01-13,2.9960387,3.0899317,2.9787967,3.064154,316412.47,969536.5,0.13065775
2011-01-14,3.0549247,3.093506,3.0267572,3.0760934,197253.55,606770.3,0.13065752
2011-01-17,3.0677013,3.1103795,2.987808,2.9975386,286821.03,859757.1,0.13065694
2011-01-18,2.9892116,3.1174183,2.9702625,3.1165645,313508.72,977070.1,0.13065778
2011-01-19,3.1165345,3.1337764,3.091781,3.1211436,200514.64,625835.0,0.13065714
2011-01-20,3.1120944,3.140945,3.0429559,3.0740254,187690.12,576964.2,0.1306571
2011-01-21,3.0693824,3.0984035,2.9987082,3.0026345,205633.8,617443.1,0.13065639
2011-01-24,3.002353,3.0298376,2.9023144,2.928092,266157.22,779332.8,0.13065769
2011-01-25,2.9188647,2.9431062,2.902135,2.9140847,131937.62,384477.4,0.1306575
2011-01-26,2.9193869,2.97026,2.9193869,2.9386778,109643.04,322205.56,0.13065772
2011-01-27,2.9355807,2.9922576,2.8949509,2.954359,225355.14,665780.0,0.13065718
2011-01-28,2.9535015,2.9726212,2.9427466,2.959135,149945.39,443708.66,0.13065709
2011-01-31,2.9618764,3.0885458,2.9535115,3.0385268,248301.67,754471.25,0.13065732
2011-02-01,3.038721,3.1044464,3.0301855,3.077644,135915.78,418300.4,0.13065782
2011-02-09,3.0726647,3.086663,3.0216215,3.03801,135280.02,410982.03,0.13065721
2011-02-10,3.0276024,3.1750987,3.026749,3.1587102,275596.84,870530.56,0.13065735
2011-02-11,3.1537187,3.2170527,3.1460366,3.1569622,260235.12,821552.44,0.1306565
2011-02-14,3.1569932,3.209402,3.1394098,3.1942086,280422.1,895726.7,0.13065714
2011-02-15,3.1941779,3.2230282,3.154744,3.162255,227439.1,719220.44,0.13065651
2011-02-16,3.1583726,3.1751025,3.1018665,3.1356678,278898.66,874533.56,0.13065742
2011-02-17,3.124064,3.1360137,3.087019,3.0943596,278313.88,861203.25,0.13065752
2011-02-18,3.0864754,3.1658564,3.0779397,3.1066194,281873.7,875674.25,0.13065685
2011-02-21,3.1069806,3.1547804,3.0933235,3.1322463,208865.92,654219.5,0.13065727
2011-02-22,3.1322594,3.1624756,3.0899222,3.104945,293085.25,910013.56,0.13065754
2011-02-23,3.0917456,3.1320336,3.0917456,3.119913,148651.66,463780.25,0.13065639
2011-02-24,3.116865,3.1320581,3.0919409,3.1095243,156718.16,487318.9,0.13065691
2011-02-25,3.1219974,3.1219974,3.0591748,3.0663447,225119.19,690293.06,0.13065714
2011-02-28,3.060854,3.0635853,3.004519,3.0502698,299205.1,912656.25,0.13065654
2011-03-01,3.0508244,3.0716515,3.0352893,3.0496294,176487.53,538221.56,0.13065745
2011-03-02,3.0421338,3.0557911,3.0047474,3.0252333,245645.5,743134.94,0.13065779
2011-03-03,3.0262215,3.050463,2.9832022,2.98747,288810.28,862812.0,0.13065702
2011-03-04,2.987472,3.017859,2.9789362,3.0033484,255257.45,766627.06,0.13065706
2011-03-07,3.0017753,3.0306256,3.0017753,3.0280647,256808.88,777633.9,0.13065627
2011-03-08,3.0289593,3.0318615,2.9840617,3.0168388,243917.38,735859.4,0.13065715
2011-03-09,3.0299911,3.0421119,3.0054083,3.0385268,175814.56,534217.25,0.13065732
2011-03-10,3.038143,3.144496,3.028071,3.1069393,417064.38,1295793.8,0.1306564
2011-03-11,3.1001399,3.1308682,3.0709481,3.073509,178677.36,549166.44,0.13065702
2011-03-14,3.0646214,3.1411004,3.0576224,3.1219807,171234.72,534591.5,0.1306568
2011-03-15,3.100797,3.127769,3.0220988,3.0603383,236486.95,723730.06,0.13065647
2011-03-16,3.0659919,3.123522,3.061041,3.1042316,185036.08,574394.8,0.1306569
2011-03-17,3.0882092,3.2355351,3.0759177,3.2269993,677518.1,2186350.5,0.13065742
2011-03-18,3.2358243,3.3134978,3.1945124,3.263138,470578.44,1535562.4,0.13065636
2011-03-21,3.240109,3.260253,3.150485,3.1945288,372359.3,1189512.5,0.1306567
2011-03-22,3.2158668,3.2431808,3.1615808,3.17097,213441.42,676816.3,0.13065669
2011-03-23,3.1754127,3.187021,3.1325638,3.1844604,328202.28,1045147.2,0.13065678
2011-03-24,3.1803489,3.1846166,3.1325498,3.1334033,163429.94,512091.9,0.13065648
2011-03-25,3.1240683,3.1681128,3.1240683,3.1314092,213577.45,668798.4,0.13065761
2011-03-28,3.1334212,3.1479316,3.0811832,3.0883532,308409.94,952478.8,0.13065685
2011-03-29,3.0899184,3.0950398,3.04724,3.054922,202998.73,620145.3,0.13065746
2011-03-30,3.054713,3.077247,3.0437877,3.0507865,157688.05,481072.56,0.13065664
2011-03-31,3.0508223,3.1206443,3.0472372,3.0702837,134135.98,411835.53,0.1306574
2011-04-01,3.072514,3.095902,3.048102,3.063637,139505.73,427394.94,0.13065764
2011-04-06,3.0626073,3.071143,3.016685,3.0212946,220230.78,665382.06,0.13065752
